PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE
CALUMET,11,GYMNASTIC CENTER,INDOOR
,,,
FIELD (EUGENE),41,CULTURAL CENTER,SPECIAL
,,,
INDIAN BOUNDARY,165,CULTURAL CENTER,SPECIAL
,,,
LEONE (SAM) BEACH,1013,BOAT LAUNCH NON-MOTORIZED,OUTDOOR
,,,
BOSLEY (WILLIAM),1024,SPRAY FEATURE,OUTDOOR
,,,
BOSWELL (ARNITA YOUNG),340,PLAYGROUND PARK,OUTDOOR
,,,
BRADLEY (JOSEPHINE),1004,BASKETBALL COURT,OUTDOOR
,,,
BRADLEY (JOSEPHINE),1004,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
BRADLEY (JOSEPHINE),1004,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BRADLEY (JOSEPHINE),1004,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BRADLEY (JOSEPHINE),1004,PLAYGROUND,OUTDOOR
,,,
BRADLEY (JOSEPHINE),1004,TENNIS COURT,OUTDOOR
,,,
BRADLEY (JOSEPHINE),1004,TENNIS COURT,OUTDOOR
,,,
BRAINERD,177,BASKETBALL COURT,OUTDOOR
,,,
BRAINERD,177,BASKETBALL COURT,OUTDOOR
,,,
BRAINERD,177,BASKETBALL COURT,OUTDOOR
,,,
BRAINERD,177,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
BRAINERD,177,GYMNASIUM,INDOOR
,,,
BRAINERD,177,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BRAINERD,177,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BRAINERD,177,PLAYGROUND,OUTDOOR
,,,
BRAINERD,177,SPRAY FEATURE,OUTDOOR
,,,
BRAINERD,177,BASEBALL SR,OUTDOOR
,,,
BRAINERD,177,BASEBALL SR,OUTDOOR
,,,
BRAINERD,177,TENNIS COURT,OUTDOOR
,,,
BRAINERD,177,TENNIS COURT,OUTDOOR
,,,
BRAINERD,177,TENNIS COURT,OUTDOOR
,,,
BRANDS,187,BASKETBALL COURT,OUTDOOR
,,,
BRANDS,187,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
BRANDS,187,GYMNASIUM,INDOOR
,,,
BRANDS,187,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BRANDS,187,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BRANDS,187,PLAYGROUND,OUTDOOR
,,,
BRANDS,187,BASEBALL SR,OUTDOOR
,,,
BRANDS,187,TENNIS COURT,OUTDOOR
,,,
BRANDS,187,TENNIS COURT,OUTDOOR
,,,
BRIGHTON,426,BASKETBALL COURT,OUTDOOR
,,,
BRIGHTON,426,PLAYGROUND,OUTDOOR
,,,
BROADWAY ARMORY,462,FITNESS CENTER,INDOOR
,,,
BROADWAY ARMORY,462,GYMNASIUM,INDOOR
,,,
BROADWAY ARMORY,462,GYMNASTIC CENTER,INDOOR
,,,
BROMANN (CHARLES),435,PLAYGROUND PARK,OUTDOOR
,,,
BRONCHO BILLY,487,BASKETBALL COURT,OUTDOOR
,,,
BRONCHO BILLY,487,PLAYGROUND,OUTDOOR
,,,
BRONCHO BILLY,487,SPRAY FEATURE,OUTDOOR
,,,
BROOKS (GWENDOLYN),362,PLAYGROUND,OUTDOOR
,,,
BROOKS (GWENDOLYN),362,SPRAY FEATURE,OUTDOOR
,,,
BROOKS (OSCAR),61,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
BROOKS (OSCAR),61,FITNESS CENTER,INDOOR
,,,
BROOKS (OSCAR),61,GYMNASIUM,INDOOR
,,,
BROOKS (OSCAR),61,HORSESHOE COURT,OUTDOOR
,,,
BROOKS (OSCAR),61,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BROOKS (OSCAR),61,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BROOKS (OSCAR),61,PLAYGROUND,OUTDOOR
,,,
BROOKS (OSCAR),61,SPRAY FEATURE,OUTDOOR
,,,
BROOKS (OSCAR),61,TENNIS COURT,OUTDOOR
,,,
BROOKS (OSCAR),61,TENNIS COURT,OUTDOOR
,,,
BROWN (SIDNEY) MEML.,289,BASKETBALL COURT,OUTDOOR
,,,
BROWN (SIDNEY) MEML.,289,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BROWN (SIDNEY) MEML.,289,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BROWN (SIDNEY) MEML.,289,PLAYGROUND,OUTDOOR
,,,
BROWN (SIDNEY) MEML.,289,SPRAY FEATURE,OUTDOOR
,,,
BROWN (SIDNEY) MEML.,289,TENNIS COURT,OUTDOOR
,,,
BROWN (SIDNEY) MEML.,289,TENNIS COURT,OUTDOOR
,,,
BRYNFORD,1141,PLAYGROUND PARK,OUTDOOR
,,,
BUCKTHORN,339,BASKETBALL COURT,OUTDOOR
,,,
BUCKTHORN,339,PLAYGROUND,OUTDOOR
,,,
BUENA CIRCLE,1084,PLAYGROUND PARK,OUTDOOR
,,,
BURNHAM (DANIEL),27,BASKETBALL COURT,OUTDOOR
,,,
BURNHAM (DANIEL),27,BASKETBALL COURT,OUTDOOR
,,,
BURNHAM (DANIEL),27,BASKETBALL COURT,OUTDOOR
,,,
BURNHAM (DANIEL),27,BASKETBALL COURT,OUTDOOR
,,,
BURNHAM (DANIEL),27,BASKETBALL COURT,OUTDOOR
,,,
BURNHAM (DANIEL),27,BEACH,OUTDOOR
,,,
BURNHAM (DANIEL),27,BEACH,OUTDOOR
,,,
BURNHAM (DANIEL),27,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BURNHAM (DANIEL),27,PLAYGROUND,OUTDOOR
,,,
BURNHAM (DANIEL),27,PLAYGROUND,OUTDOOR
,,,
BURNHAM (DANIEL),27,PLAYGROUND,OUTDOOR
,,,
BURNHAM (DANIEL),27,PLAYGROUND,OUTDOOR
,,,
BURNHAM (DANIEL),27,PLAYGROUND,OUTDOOR
,,,
BURNHAM (DANIEL),27,SKATE PARK,OUTDOOR
,,,
BURNHAM (DANIEL),27,BASEBALL SR,OUTDOOR
,,,
BURNSIDE (AMBROSE),363,BASKETBALL COURT,OUTDOOR
,,,
BURNSIDE (AMBROSE),363,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BURNSIDE (AMBROSE),363,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BURNSIDE (AMBROSE),363,PLAYGROUND,OUTDOOR
,,,
BURNSIDE (AMBROSE),363,SPRAY FEATURE,OUTDOOR
,,,
BUTTERCUP,385,PLAYGROUND,OUTDOOR
,,,
BUTTERNUT,1272,PLAYGROUND PARK,OUTDOOR
,,,
CALIFORNIA,189,WHEELCHR ACCSSBLE BALLFLD,SPECIAL
,,,
CALIFORNIA,189,BASKETBALL COURT,OUTDOOR
,,,
CALIFORNIA,189,BASKETBALL COURT,OUTDOOR
,,,
CALIFORNIA,189,FITNESS CENTER,INDOOR
,,,
CALIFORNIA,189,POOL (OUTDOOR),OUTDOOR
,,,
CALIFORNIA,189,PLAYGROUND,OUTDOOR
,,,
CALIFORNIA,189,SPRAY FEATURE,OUTDOOR
,,,
CALIFORNIA,189,TENNIS COURT,OUTDOOR
,,,
CALIFORNIA,189,TENNIS COURT,OUTDOOR
,,,
CALIFORNIA,189,TENNIS COURT,OUTDOOR
,,,
CALIFORNIA,189,TENNIS COURT,OUTDOOR
,,,
CALUMET,11,BASKETBALL COURT,OUTDOOR
,,,
CALUMET,11,BEACH,OUTDOOR
,,,
CALUMET,11,BEACH,OUTDOOR
,,,
CALUMET,11,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
